,from_user,AF score,count
37,100002674204353,3623.3809523809523,42
3,719335150,3036.0,1
30,100001650992984,2022.659217877095,179
88,100006492785190,1929.0,182
43,100002952941432,1784.7295597484276,159
42,100002947761648,1509.0995762711864,472
38,100002708846347,1427.7747747747749,111
18,100000641426063,1333.2148760330579,121
22,100001034079001,1328.6618705035971,139
113,100012780704777,1235.7860962566845,187
7,103592947280,1209.64,25
11,100000197527970,1075.1666666666667,114
8,100000090674282,991.28,25
25,100001261711300,971.788,500
107,100011311924354,945.796992481203,133
2,698970041,905.8980169971671,353
94,100008358601713,847.9756097560976,41
20,100000761988848,798.7325581395348,86
58,100003713187043,702.4,130
5,1362923905,692.6,30
87,100006485900931,608.7142857142857,42
102,100009175333303,591.8589743589744,78
14,100000322372457,565.9411764705883,34
76,100004837337817,516.7037037037037,27
44,100003029547967,460.65659777424486,629
6,1584345319,456.88461538461536,104
21,100000941004296,436.7864077669903,103
33,100002114037872,432.1304347826087,92
15,100000339908814,426.5,10
90,100007016911108,426.3975903614458,166
67,100004204003813,403.3030303030303,66
19,100000718348778,362.0,38
39,100002867788185,351.3,40
32,100001997853167,327.7361111111111,576
108,100011333061667,314.40449438202245,89
0,537414652,312.6222222222222,45
26,100001319768989,253.98522167487684,203
53,100003569823682,210.66666666666666,3
116,100015344626642,209.15,40
1,567112096,195.81848184818483,606
112,100012649321912,136.4375,16
12,100000201925350,126.03448275862068,87
9,100000115688426,117.22417582417583,455
64,100004016977149,112.18518518518519,81
28,100001594371873,103.3896103896104,154
24,100001248952165,97.29559748427673,159
23,100001142409674,86.93693693693693,222
80,100005435264199,79.66887417218543,151
98,100009007042737,77.17721518987342,316
99,100009093167114,75.575,40
77,100004916611413,72.8,20
125,100031837786094,68.85714285714286,7
93,100007906965900,67.56521739130434,23
45,100003149305591,66.03208556149733,187
101,100009161337558,64.6931216931217,567
62,100003821394311,61.78947368421053,114
110,100011597771399,59.6140350877193,57
56,100003645240359,58.24,25
69,100004267633521,57.42211055276382,199
31,100001723596967,52.283400809716596,247
60,100003736677225,52.041666666666664,24
47,100003190063920,51.287234042553195,94
84,100005799065117,46.33587786259542,131
40,100002879804954,43.333333333333336,159
52,100003534289762,41.5,14
13,100000250783293,40.08948545861298,447
119,100017225435318,38.0,6
79,100005428203333,37.043010752688176,93
29,100001611307915,36.91954022988506,174
97,100008566115322,36.5125,80
10,100000119596344,36.46812386156648,549
55,100003641317530,35.583333333333336,12
86,100006207061063,35.20253164556962,79
27,100001483356457,35.0,4
41,100002944413188,33.74,50
57,100003707632771,33.51724137931034,58
81,100005606079315,33.509803921568626,102
63,100003931405833,33.27142857142857,70
78,100004996991660,31.651162790697676,43
75,100004810052025,31.643410852713178,129
91,100007066507552,31.218543046357617,151
17,100000529669670,31.06122448979592,49
61,100003748632824,30.759036144578314,83
118,100016550867197,30.015384615384615,65
106,100011100009173,26.085714285714285,35
59,100003714391961,25.275510204081634,196
50,100003284551416,24.681818181818183,44
48,100003262562826,23.790419161676645,501
35,100002324898695,22.557142857142857,70
109,100011545749560,22.428571428571427,35
104,100010240698725,21.96842105263158,95
73,100004589469292,21.5,16
74,100004616538619,21.5,4
115,100012799261681,20.26457399103139,223
123,100027817692443,19.89108910891089,101
68,100004242545806,18.60323886639676,494
82,100005735466796,18.445945945945947,222
89,100006824761488,18.142857142857142,203
121,100025194291968,17.83606557377049,61
92,100007417149329,17.56578947368421,76
72,100004538941102,16.81159420289855,69
36,100002628945110,16.152380952380952,105
111,100012423076999,15.611742424242424,528
65,100004054731543,15.184834123222748,211
66,100004093307559,15.105263157894736,114
105,100010293311018,14.83293556085919,419
95,100008405467721,12.573529411764707,68
4,1322622673,12.492857142857142,140
100,100009151854812,12.298804780876495,251
114,100012797838767,11.908045977011493,87
122,100027603482286,11.721189591078067,269
83,100005762618701,10.717223650385604,389
96,100008454426355,10.70997679814385,431
34,100002136458858,10.390334572490707,269
85,100005945013345,9.22420634920635,504
49,100003274585860,8.192229038854805,489
46,100003153315263,6.5,2
54,100003591235867,6.115942028985507,69
51,100003304376505,5.926923076923077,260
16,100000359650093,5.73758865248227,564
70,100004319018554,5.620689655172414,145
71,100004476107852,5.1214470284237725,387
103,100009765121790,4.983333333333333,60
120,100024180949652,4.355769230769231,104
117,100015642520842,2.4345238095238093,168
124,100028448392294,1.0,1
